iter	Passed	Remaining
0	8	8197
1	18	8987
2	28	9310
3	38	9463
4	47	9497
5	57	9511
6	67	9558
7	77	9601
8	87	9612
9	98	9713
10	108	9750
11	119	9799
12	132	10078
13	166	11697
14	178	11746
15	187	11546
16	196	11341
17	204	11180
18	213	11015
19	221	10845
20	229	10718
21	238	10598
22	247	10515
23	256	10421
24	264	10333
25	273	10250
26	281	10162
27	289	10066
28	298	9982
29	307	9927
30	315	9868
31	323	9799
32	332	9746
33	341	9690
34	349	9636
35	357	9582
36	366	9542
37	374	9487
38	383	9438
39	391	9395
40	400	9368
41	409	9330
42	417	9299
43	426	9263
44	434	9221
45	443	9188
46	451	9154
47	459	9111
48	467	9082
49	476	9047
50	484	9018
51	493	8987
52	501	8959
53	509	8928
54	518	8905
55	526	8878
56	535	8859
57	543	8835
58	552	8814
59	561	8790
60	569	8771
61	578	8752
62	587	8731
63	597	8733
64	605	8710
65	614	8695
66	622	8672
67	631	8651
68	658	8882
69	666	8860
70	675	8837
71	683	8815
72	692	8789
73	700	8763
74	708	8738
75	715	8701
76	724	8681
77	732	8659
78	744	8675
79	761	8760
80	771	8753
81	783	8768
82	792	8760
83	800	8726
84	808	8708
85	817	8692
86	827	8680
87	834	8652
88	842	8622
89	851	8612
90	861	8605
91	870	8593
92	878	8569
93	886	8544
94	894	8519
95	902	8495
96	909	8467
97	917	8441
98	925	8422
99	933	8397
100	940	8374
101	948	8351
102	955	8322
103	962	8295
104	970	8269
105	976	8238
106	984	8213
107	990	8184
108	998	8162
109	1005	8134
110	1012	8109
111	1020	8088
112	1027	8067
113	1035	8046
114	1042	8026
115	1049	8001
116	1058	7985
117	1065	7964
118	1073	7946
119	1080	7922
120	1087	7902
121	1095	7880
122	1102	7863
123	1110	7844
124	1139	7974
125	1147	7958
126	1154	7937
127	1162	7920
128	1170	7901
129	1177	7883
130	1185	7865
131	1193	7845
132	1200	7827
133	1208	7810
134	1215	7789
135	1223	7770
136	1230	7752
137	1238	7734
138	1245	7716
139	1253	7697
140	1260	7676
141	1265	7647
142	1272	7627
143	1279	7607
144	1286	7586
145	1293	7567
146	1301	7549
147	1308	7530
148	1313	7503
149	1320	7482
150	1326	7455
151	1331	7428
152	1336	7401
153	1343	7378
154	1348	7352
155	1353	7324
156	1359	7298
157	1364	7272
158	1390	7355
159	1397	7338
160	1403	7313
161	1408	7287
